"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877","1876","1875"
"61","CO","ABLA","H","01H","ABLA-H-01H",0.2725,1.0805,1.259,0.924,0.905,0.995,0.798,0.714,0.9455,0.735,0.6595,0.8475,1.186,0.9665,1.04,1.302,1.175,1.167,0.9715,0.8785,0.898,1.117,1.101,1.059,1.1075,1.176,1.284,1.1875,1.083,1.1385,1.172,1.1655,1.0795,0.9855,1.1015,0.835,1.103,1.0865,0.759,1.005,1.1065,0.8775,1.067,1.7245,1.7915,1.8825,1.7385,1.1745,1.867,1.7795,1.718,1.5725,1.74,1.3385,1.18,1.169,1.278,1.2325,1.575,1.5235,1.3685,1.3415,1.2035,1.237,1.6725,1.505,1.2455,1.1505,1.327,1.24,1.08,0.932,1.262,1.0955,1.04,1.043,1.1845,1.084,1.11,1.2215,1.318,0.9995,1.175,0.9175,1.058,0.9945,1.1695,1.132,1.2165,0.677,0.5545,0.6635,0.726,0.8945,1.0185,0.476,0.515,0.943,0.982,0.755,0.959,0.829,0.651,0.978,0.9725,1.0515,0.861,0.697,0.7835,1.119,1.248,0.966,0.964,0.725,0.649,0.605,0.505,0.677,0.92,0.96,0.88,1.276,0.994,1.278,1.274,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CO","ABLA","H","01L","ABLA-H-01L",0.106,0.8895,0.909,0.98,1.0565,0.9205,0.86,0.59,0.633,0.676,0.7385,0.802,0.79,0.6845,0.7255,0.6805,0.6335,0.795,0.848,0.7785,0.802,0.9855,0.99,0.771,0.8625,0.933,0.945,1.0715,1.0385,1.079,0.9455,1.0745,0.989,0.948,1.055,0.939,0.7265,1.2155,1.0665,1.171,0.8975,0.9395,1.1815,1.486,1.5885,1.4655,1.402,1.8705,1.735,1.8015,1.505,1.6635,1.5205,1.663,1.45,1.638,1.363,1.451,1.437,1.434,1.5035,1.3805,1.2365,1.304,1.837,1.827,1.512,1.2905,1.3995,1.174,1.2525,1.4255,1.4315,1.3035,1.266,1.3915,1.258,1.1665,1.081,0.853,0.918,0.8385,1.019,0.9365,0.8515,0.835,0.8455,0.891,0.78,0.7475,0.5965,0.627,0.61,0.665,0.7185,0.58,0.638,0.607,0.69,0.7265,0.7335,0.726,0.71,0.964,1.031,1.154,1.067,1.0245,1.1565,1.1835,1.3035,1.011,1.046,1.059,1.121,1.025,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CO","ABLA","H","02H","ABLA-H-02H",0.1575,1.035,1.1635,1.004,1.2755,1.0135,0.908,0.8335,0.8325,0.8115,0.951,1.1665,1.407,1.196,1.3205,1.349,1.2615,1.2605,0.967,0.999,1.111,1.1685,1.094,1.1975,1.0345,1.131,1.151,1.0775,0.9815,1.0015,1.224,1.309,1.025,0.6975,1.0595,0.9205,0.836,0.9045,0.729,0.7355,0.729,0.656,0.821,1.6235,1.737,1.437,1.429,1.3825,1.9545,1.826,1.5245,1.433,1.241,1.441,1.4935,1.676,1.8715,1.7485,1.824,1.8575,1.6055,1.2045,1.084,1.432,2.133,2.2955,1.9815,1.7115,1.9405,1.5845,1.295,1.327,1.5445,1.499,1.1475,1.9505,2.017,1.6265,1.517,1.363,1.1875,0.801,1.4025,1.3395,0.715,0.7095,1.0035,1.289,1.0215,0.991,1.056,0.596,0.392,0.524,0.422,0.362,0.348,0.359,0.288,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CO","ABLA","H","02L","ABLA-H-02L",0.1175,1.075,1.3205,1.152,1.526,1.475,1.2615,1.2975,1.474,1.1015,0.7665,1.314,1.632,1.302,0.9365,1.061,0.836,1.1955,1.0145,0.6415,0.827,0.983,0.8055,0.7455,0.892,0.946,0.9325,0.889,1.025,1.025,0.9205,0.722,0.7555,0.7505,0.975,0.7655,0.78,0.8985,1.007,0.9615,1.2655,0.778,0.773,1.62,2.0135,1.1085,0.8695,0.962,0.677,0.8965,1.266,1.355,1.2255,1.2085,1.117,1.088,1.2595,1.206,1.324,1.3685,1.413,1.267,0.8755,1.587,1.476,1.629,1.495,1.454,1.503,1.446,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CO","ABLA","H","03H","ABLA-H-03H",0.0925,0.9285,1.0485,0.783,0.977,0.8535,1.0205,0.861,0.958,0.8195,0.663,0.938,1.119,1.0985,1.1085,1.118,0.948,1.0355,0.9395,0.8735,0.7715,0.9075,0.887,0.871,0.9445,1.099,1.0775,0.972,0.94,0.9085,0.981,1.193,0.844,0.6965,1.1825,0.959,0.981,0.906,0.871,1.0715,1.1195,0.879,0.9285,1.1535,1.267,1.082,0.977,1.217,1.229,1.3725,1.2305,1.263,1.2625,1.2805,1.1755,1.1135,1.19,1.145,1.1665,1.432,1.2435,1.097,1.171,1.108,1.181,1.6095,1.647,1.299,1.12,1.139,1.016,0.9635,1.269,1.4775,1.4785,1.519,1.273,1.384,1.227,1.017,1.095,1.458,1.6055,1.464,1.6695,1.4885,1.474,1.157,1.57,2.224,2.453,0.5115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CO","ABLA","H","03L","ABLA-H-03L",0.286,0.592,0.7185,0.644,0.7035,0.6265,0.5275,0.596,0.501,0.4985,0.4955,0.684,0.8125,1.039,0.989,0.8275,0.7005,0.942,0.9045,0.8275,0.722,0.918,0.8045,0.7525,0.709,0.8265,0.821,0.821,0.794,0.786,0.941,0.9275,0.8705,0.802,0.952,1.0075,0.987,0.9775,0.914,0.883,0.8555,0.767,0.985,0.916,1.0395,1.169,1.4915,1.3745,1.6275,1.652,1.8445,1.9635,1.848,1.72,1.377,1.7005,1.8175,1.6905,2.004,2.003,1.713,1.6355,1.383,1.7725,2.1935,2.2395,2.411,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","CO","ABLA","H","04H","ABLA-H-04H",0.131,0.443,0.6755,0.4965,0.655,0.687,0.6665,0.5605,0.5715,0.455,0.402,0.423,0.7295,0.74,0.6865,0.6965,0.5495,0.6445,0.6865,0.6455,0.5705,0.486,0.55,0.6195,0.4785,0.7275,0.697,0.786,0.7085,0.6945,0.7075,0.5905,0.4855,0.5165,0.517,0.516,0.5165,0.4215,0.526,0.4005,0.474,0.4315,0.4835,0.704,0.649,0.649,0.6375,0.7395,0.853,0.7895,0.6945,0.53,0.6055,0.543,0.606,0.606,0.7415,0.511,0.676,0.603,0.5815,0.6225,0.581,0.6385,0.7145,0.768,0.6925,0.6195,0.619,0.5885,0.4835,0.5995,0.62,0.5465,0.4945,0.631,0.631,0.578,0.6105,0.4115,0.59,0.4945,0.5985,0.598,0.545,0.4945,0.5125,0.5035,0.4395,0.4175,0.4395,0.428,0.5225,0.428,0.393,0.34,0.4415,0.378,0.4095,0.473,0.555,0.4905,0.429,0.463,0.5255,0.514,0.5205,0.449,0.488,0.457,0.407,0.358,0.4575,0.448,0.3585,0.5005,0.3835,0.3665,0.521,0.433,0.3685,0.5315,0.4815,0.4165,0.497,0.385,0.3445,0.374,0.4225,0.3595,0.301,0.3535,0.344,0.3115,0.332,0.5395,0.4185,0.2865,0.3485
"68","CO","ABLA","H","04L","ABLA-H-04L",0.153,0.6865,0.989,0.9035,0.995,1.04,0.993,0.9105,1.0215,0.9285,0.739,0.904,1.2915,1.0595,0.949,0.9985,0.9855,1.1425,1.238,0.987,0.87,1.091,1.083,1.1665,1.0605,1.4185,1.416,1.5865,1.1635,1.1755,1.083,1.1585,0.9475,1.0515,1.26,0.9965,1.0795,0.9845,1.2455,1.193,1.2245,0.978,0.6695,1.2315,1.775,1.2975,0.973,1.2355,1.4855,1.5025,1.343,1.2365,1.0905,1.0875,0.8775,0.868,1.171,1.1305,1.442,1.328,1.0975,0.9615,1.011,1.0015,1.1785,1.302,1.083,0.7625,0.9925,0.9195,0.7015,0.786,0.994,0.9295,0.8205,0.8225,0.771,0.903,0.9335,1.1795,1.41,1.317,1.4045,1.1915,1.1145,1.0535,1.321,1.3535,1.4325,1.366,1.343,1.2225,1.243,1.2765,1.2145,1.224,1.112,1.2685,1.3,1.3575,1.302,1.307,0.9815,1.181,1.211,1.0875,0.7255,0.864,1.371,0.824,1.028,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","CO","ABLA","H","05H","ABLA-H-05H",0.152,0.853,0.854,0.714,0.883,0.749,0.749,0.664,0.7585,0.494,0.524,0.5895,0.966,0.8645,1.0205,1.1355,0.8945,0.8935,0.799,0.8925,1.0285,1.0245,0.929,0.9155,1.175,1.0675,1.268,1.3115,0.872,0.9765,1.1085,1.099,0.8725,0.8205,1.0715,1.1565,1.1695,1.368,1.245,1.2085,0.9045,1.0835,1.3205,1.821,2.1905,1.6855,1.737,2.073,2.5255,2.6625,2.3995,1.844,1.642,1.556,1.3635,1.748,1.389,1.544,2.0605,1.99,1.883,1.3455,2.282,1.7985,1.5935,1.402,1.495,1.425,1.531,1.1995,1.048,1.2355,1.5455,1.498,1.5915,1.3515,1.162,1.322,1.4255,1.49,1.191,0.9815,1.1375,1.0295,0.935,1.084,1.2985,1.287,1.3765,0.925,0.875,0.998,1.037,0.987,1.1,1.319,1.282,1.029,1.072,1.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CO","ABLA","H","05L","ABLA-H-05L",0.258,1.974,1.817,1.4855,1.824,1.981,1.89,1.655,1.819,1.506,1.3755,2.2535,2.7935,2.661,2.358,2.255,1.752,2.2925,2.158,1.9435,1.8915,2.1135,2.156,1.56,1.8645,2.079,1.875,2.424,1.867,2.0055,1.957,2.0565,2.0065,1.458,1.681,1.611,2.044,1.611,1.486,1.6255,1.5325,1.593,1.1895,2.131,3.184,2.5255,1.742,2.1635,2.3915,2.301,2.0695,1.493,1.346,0.961,1.2505,1.605,1.194,0.8515,0.8065,0.637,0.943,1.0945,1.1415,1.225,1.046,0.4815,0.517,0.534,0.385,0.343,0.501,0.626,0.852,0.628,0.402,0.334,0.45,0.485,0.81,0.595,0.372,1.532,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CO","ABLA","H","06H","ABLA-H-06H",0.127,0.754,0.871666666666667,0.775666666666667,1.082,0.756,0.769333333333333,0.610333333333333,0.8,0.667666666666667,0.715333333333333,0.496666666666667,0.940666666666667,0.897666666666667,0.912333333333333,1.01966666666667,0.903,0.991666666666667,0.765333333333333,0.762666666666667,0.800333333333333,1.02766666666667,0.953666666666667,0.833,0.96,0.997333333333333,0.97,1.01933333333333,0.956666666666667,0.894333333333333,0.949333333333333,1.03866666666667,0.996666666666667,0.887666666666667,0.926666666666667,1.07233333333333,1.025,1.16366666666667,1.02366666666667,1.02366666666667,0.883666666666667,1.099,1.071,1.48833333333333,1.84066666666667,1.709,1.76633333333333,2.50633333333333,1.323,1.512,1.62,1.592,1.505,1.56766666666667,1.46666666666667,1.39333333333333,1.28333333333333,1.383,1.511,1.572,1.59133333333333,1.51933333333333,1.21533333333333,1.32766666666667,1.43733333333333,1.28433333333333,1.18066666666667,1.11566666666667,1.19866666666667,1.05566666666667,1.14066666666667,1.35166666666667,1.46,1.19933333333333,1.18633333333333,1.31666666666667,1.30566666666667,1.28333333333333,1.40133333333333,1.32566666666667,1.12133333333333,1.06366666666667,1.25033333333333,1.16633333333333,1.22866666666667,1.319,1.36266666666667,1.38666666666667,1.51566666666667,1.203,1.193,1.037,1.088,1.326,1.2145,0.836,0.8465,1.287,1.184,1.356,1.628,1.7065,1.6805,1.5855,1.6855,1.767,2.124,1.839,1.6915,1.5695,1.4125,1.4145,1.47,1.385,1.576,1.2665,1.4065,1.139,1.565,0.916,0.611,1.183,1.165,1.273,1.378,1.39,1.784,2.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CO","ABLA","H","06L","ABLA-H-06L",0.1725,1.31,1.027,1.2745,1.261,0.8285,0.7045,0.651,0.7545,0.589,0.7745,0.769,0.7295,0.717,0.5785,0.6255,0.5935,0.681,0.598,0.6945,0.687,0.8795,0.8235,0.6455,0.87,0.8535,0.78,0.7295,0.7635,0.7325,0.7335,0.885,0.707,0.434,0.696,0.6875,0.6075,0.6965,0.3575,0.4915,0.3945,0.4175,0.507,0.832,1.148,1.2325,1.5835,1.717,1.1125,1.009,0.9375,0.9085,0.8165,0.9045,0.8905,0.819,0.6465,0.7625,1.052,0.99,0.895,0.5655,1.0525,1.0655,1.1185,1.1315,1.143,0.967,0.94,0.834,0.9155,1.0205,0.9825,1.3035,1.2635,0.9645,0.952,0.984,1.147,1.1825,1.132,0.9475,1.1585,1.309,1.2635,1.348,0.9595,1.148,1.1815,1.0475,0.8545,0.8335,0.78,0.621,0.7225,0.6275,0.715,0.5915,0.7265,0.871,1.115,1.158,1.134,1.1245,0.627,0.884,0.9695,0.862,0.884,1.0915,1.193,0.8725,1.0915,1.263,1.1485,1.445,1.316,1.074,1.2165,1.2895,0.805,0.828,1.0035,0.8795,0.789,0.977,0.796,0.946,1.1165,0.729,0.941,0.8135,0.8595,0.535,0.674,0.5855,0.5775,0.5395,0.434
"73","CO","ABLA","H","07H","ABLA-H-07H",0.1215,0.8965,0.896,0.828,0.9935,1.0175,0.936,0.8075,0.9885,0.7555,0.772,0.738,0.9795,0.931,0.76,0.8155,0.634,0.786,0.8745,0.9975,0.9135,0.9225,0.8285,0.92,1.0475,0.9655,0.927,0.757,0.7225,0.6395,0.8135,0.6895,0.574,0.493,0.697,0.708,0.873,0.9615,0.818,0.966,1.0225,1.0755,1.201,1.7375,2.424,2.54,2.6265,2.42,1.608,1.727,2.0225,1.908,1.7245,1.868,1.9915,2.151,1.4335,1.5995,1.654,1.655,1.814,1.782,1.811,1.6215,1.773,1.622,1.6415,1.5045,1.581,1.3575,1.3435,1.5025,1.237,1.278,1.197,0.92,1.022,1.134,1.076,1.438,1.281,0.797,1.434,1.1795,1.112,1.0805,1.1915,1.379,1.493,1.188,1.012,1.215,1.133,1.283,1.464,1.1625,0.686,0.5485,0.886,0.8985,1.4905,1.4985,1.2615,1.291,0.9945,1.455,1.16,1.211,1.0885,1.4855,1.38,1.6545,1.5125,1.5685,1.534,1.333,0.927,1.047,1.544,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CO","ABLA","H","07L","ABLA-H-07L",0.169,0.8055,0.715,0.611,0.7485,0.634,0.768,0.7045,0.9105,0.899,0.9355,0.989,1.1785,1.0745,0.916,0.9325,0.7075,0.9155,1.008,0.8935,0.803,0.877,0.9025,0.801,0.6995,0.7005,0.6695,0.6855,0.68,0.785,0.7155,0.763,0.5855,0.4905,0.5835,0.539,0.6735,0.661,0.645,0.609,0.6505,0.5895,0.838,1.1285,1.15,0.9935,1.0045,1.079,1.026,1.2575,1.2015,1.272,1.1795,1.287,1.295,1.2975,1.0615,1.2625,1.8875,2.0615,1.897,1.2425,1.9035,1.9665,2.1,2.104,2.188,2.213,2.1095,2.012,1.9735,2.0465,2.177,2.4525,2.295,2.006,1.694,1.8705,2.1635,2.3415,2.3505,2.327,2.3085,2.117,1.9585,2.136,2.1255,1.9335,2.2195,2.0715,1.665,1.5775,1.6355,1.419,1.5225,1.721,1.3195,1.233,1.6495,1.3555,1.8845,1.878,1.9225,1.6175,1.2885,1.6585,1.4315,1.404,1.434,2.1185,1.861,2.31,2.1395,2.167,1.6165,1.4685,1.3285,1.4395,1.1665,1.3005,0.9235,1.1895,0.7885,0.915,0.866,0.96,2.043,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CO","ABLA","H","08H","ABLA-H-08H",0.1145,1.135,1.085,0.9795,1.1585,0.969,0.999,0.8405,0.9145,0.8025,0.6445,0.7495,0.7495,1.042,0.913,1.0615,0.956,1.028,0.979,0.9525,0.616,1.033,0.8025,0.729,1.1085,0.9685,0.9255,0.904,0.799,0.83,0.894,0.7155,0.5695,0.528,0.5595,0.538,0.5375,0.6215,0.4735,0.4195,0.356,0.376,0.47,0.573,0.5825,0.5605,0.674,0.9605,0.6575,0.591,0.738,0.8525,0.7185,0.886,0.94,1.09,0.6935,0.6925,0.9765,0.866,1.196,0.9375,0.843,1.002,1.1715,1.0525,0.8425,0.79,0.948,0.8705,0.8095,1.315,1.2775,1.1235,1.385,1.2895,1.1205,0.9995,0.88,0.709,0.5395,0.453,0.631,0.6645,0.675,0.752,0.854,0.8835,0.7765,0.8165,0.748,0.7985,0.798,0.5845,0.5525,0.3975,0.645,0.682,1.025,0.915,0.4855,0.479,0.481,0.389,0.326,0.378,0.528,0.492,0.839,0.701,0.718,0.589,0.695,0.527,0.339,0.549,0.591,0.656,1.053,0.935,0.633,0.888,0.928,0.58,0.599,0.619,0.623,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
