"","PIPO-L","PIPO-M","PIPO-H"
"2011",1.34185219666028,1.09526721786979,0.992428218669341
"2010",1.17226714831099,1.12725488905254,1.08364212933417
"2009",1.16230067922025,1.04901971333687,1.02941768529155
"2008",0.976531738291397,0.833268198531097,0.884883524086565
"2007",0.973180439141453,1.04399681560435,1.40606502092821
"2006",0.760529707850877,0.764832170425014,1.00155116038457
"2005",1.07162931244925,1.02880013635528,0.759407321488714
"2004",0.596729253999316,0.650377937056688,0.899209354710196
"2003",0.583777927283464,0.663517233778208,0.846948010669388
"2002",0.105372538416505,0.177966931076088,0.472224369139748
"2001",0.627879658184112,0.77060015378267,0.797123872272083
"2000",0.706553564629753,0.927731241841074,0.975833534310078
"1999",1.36617688108402,1.45017934209772,1.35751489875865
"1998",1.15129157644411,1.07959626195766,1.07802801289336
"1997",1.41505171347722,1.23236111197606,1.10485131632271
"1996",0.68578428080569,0.806355369483617,0.96635296074086
"1995",1.6661923788001,1.38700689301651,1.21384047354503
"1994",1.01200264470385,1.06072899532366,0.932520077950547
"1993",0.975013405852818,1.0336484510142,0.83231890203364
"1992",1.24171775543953,1.14890918042615,1.00178455750565
"1991",0.927814550298276,1.03617025516082,1.0271650181287
"1990",1.07970107856393,1.11251947168718,1.18182163285311
"1989",0.98144209816711,1.05990329066475,0.976093677497
"1988",1.21818143663865,1.21634481587367,1.05524216399199
"1987",1.24203519741412,1.30444768542689,1.06765594507196
"1986",1.44375508103918,1.62233781059048,1.34453188628504
"1985",0.919377464292849,1.13728966656725,0.955435186898223
"1984",0.891940173689057,1.12264885117383,1.00434626537834
"1983",1.59530084683523,1.32880719045409,1.22797707780083
"1982",1.21272321305651,1.25381880167357,1.11856513365799
"1981",0.964498189303993,1.03451705208341,1.14174080568748
"1980",0.936562586376842,0.800610453100562,0.741413975051106
"1979",1.03376849942878,0.987850932336042,0.818110831527281
"1978",0.844385076168367,0.892427943475413,0.817302733997971
"1977",0.292132399698661,0.469165271497708,0.759218511579073
"1976",0.961158588735604,0.898533742779313,0.957603910437795
"1975",1.18543825775565,1.20213430420775,1.10401743459751
"1974",0.853626679581005,0.865806033994845,1.03874687823775
"1973",1.21021641655248,1.03712012050419,0.933315100931671
"1972",0.86650185802749,0.888147241722126,1.00516632130049
"1971",1.03525655518308,0.921876279008673,0.856003792227327
"1970",0.801595288349516,0.746271123548899,1.08615490400847
"1969",1.39043723152561,1.21994737007804,1.24282671862652
"1968",1.31354125304028,1.18477595457995,1.06361451640845
"1967",1.31914187952263,1.27350030234426,1.22256430380423
"1966",1.20542523739901,1.16700054441945,1.10832443134202
"1965",1.29328913269279,1.2686027651778,1.22972499379491
"1964",0.912399687929606,0.880906337675283,1.01364689889052
"1963",0.742763311303264,0.678170148496033,0.850532187752681
"1962",0.746667056442287,0.853273059068796,0.968289628104693
"1961",0.671112318244559,0.931002047217059,0.875215998862389
"1960",0.724784496281285,0.892730516271428,0.92017207203182
"1959",0.312354614279269,0.442809308384005,0.901221691741305
"1958",0.937968865061215,0.995169913562941,0.999214593738898
"1957",1.38494025199075,1.28689391601415,0.997782824282344
"1956",0.850103523145642,0.870366156315404,0.887359811689922
"1955",0.93634392736393,1.11621771159941,0.896843649854505
"1954",0.792235201538877,1.01127671327985,1.03481268125129
"1953",0.969308720860914,0.977765149004762,0.934521690861067
"1952",1.27424938985727,1.07164141800311,0.981140453781069
"1951",0.573405379449187,0.721936398971353,0.910017947376628
"1950",0.778883988865837,0.78036830809793,0.825077839542905
"1949",1.16801326994506,1.16518657338193,1.02274491841539
"1948",0.882583358589273,0.863584359409126,0.909054768382495
"1947",1.09490844128369,1.06487467699493,1.0413091384617
"1946",0.847076961858405,0.77523230371136,0.923218461051416
"1945",1.04975376988457,0.952144250838365,0.867035479467002
"1944",1.06119984021769,0.926040789564629,0.913912315698899
"1943",1.21770255805831,1.17771495090027,0.942897404929433
"1942",1.11013313616521,1.04153462716318,0.953220255838934
"1941",1.37371522112015,1.12871803559089,1.14018037419474
"1940",1.01537314293821,0.913114412255817,1.06460421542202
"1939",0.95912945350007,0.787339328898002,0.969504241034114
"1938",1.16584792812662,0.979313288621246,1.0260067715708
"1937",1.15605969508571,1.09024712407814,1.13074887674267
"1936",0.864366082235614,0.949240183593891,1.01850714639844
"1935",0.846503079683005,0.881706500607879,0.961938959165694
"1934",0.598878597355468,0.621685364851476,0.895920468090331
"1933",0.784386270802428,0.793723290499158,0.950384855171627
"1932",1.08719689440544,0.968624068426984,1.03600782245359
"1931",0.72095558199991,0.809847947823129,1.02274126470681
"1930",1.16352005632614,1.03782271544575,1.17153054677082
"1929",1.12305468689968,0.992306262525066,0.999063132473013
"1928",0.9437492088454,0.92255789609415,1.04953430950968
"1927",1.14473421814411,1.06964308840347,1.15529992525258
"1926",1.12440010220149,1.06749860451776,1.13519144125968
"1925",0.82210823320028,0.867634365775534,1.01142860477464
"1924",0.899451833324352,0.942570687606476,0.970120040490366
"1923",1.02822285410738,1.06243355244036,1.06905270446153
"1922",0.830729446254913,0.955825066555491,0.859046259963886
"1921",1.15317756722328,1.25273409701695,1.32836808486361
"1920",1.02155554830108,1.08445561614643,0.991832727611203
"1919",1.1372934043018,1.15365244416843,1.14805575220879
"1918",0.915365363538232,1.03495965329286,1.00271376156114
"1917",0.801611751962365,0.924403087879382,0.753362844817985
"1916",1.14014773942366,1.21755541261098,0.996888447944512
"1915",1.04491860597977,0.993212265169915,0.894870896143732
"1914",1.28150435405061,1.11088652805895,0.99810052678923
"1913",1.18579273539428,0.945469630740161,0.844073841530524
"1912",1.09493997444781,1.09152460364461,0.982803953036898
"1911",1.42176686986593,1.2081393258553,1.12211423361601
"1910",1.0896775023238,1.0290176581265,0.945797703399419
"1909",1.0849046024133,0.895174263618635,0.981913562274108
"1908",1.29764045258054,0.949531358902204,1.14300139824477
"1907",1.04305916924512,1.14781744749906,1.15505216952011
"1906",1.08441092799671,1.15880337526855,1.03324132822196
"1905",0.811889852882875,1.15762416460947,0.998697346329951
"1904",0.72817882829569,1.01161767810056,0.904742636867984
"1903",0.970962448421371,0.70991684825921,0.960467945162209
"1902",0.567193952724639,0.46817746856064,0.763279487577574
